Origin,Destination,Origin State,Destination State,Flow,Error,Origin Lat,Origin Lon,Dest Lat,Dest Lon
Ada County,Alameda County,Idaho,California,169.0,157.0,43.447861,116.244456,37.648081,121.913304
Ada County,Contra Costa County,Idaho,California,16.0,26.0,43.447861,116.244456,37.919479,121.951543
Ada County,Los Angeles County,Idaho,California,48.0,48.0,43.447861,116.244456,34.196398,118.261862
Ada County,Orange County,Idaho,California,21.0,36.0,43.447861,116.244456,33.675687,117.777207
Ada County,Riverside County,Idaho,California,10.0,20.0,43.447861,116.244456,33.729828,116.002239
Ada County,San Francisco County,Idaho,California,11.0,18.0,43.447861,116.244456,37.727239,123.032229
Ada County,San Mateo County,Idaho,California,26.0,29.0,43.447861,116.244456,37.414664,122.371542
Ada County,Santa Clara County,Idaho,California,7.0,11.0,43.447861,116.244456,37.220777,121.690622
Adams County,Los Angeles County,Colorado,California,79.0,68.0,39.874325,104.331872,34.196398,118.261862
Adams County,Los Angeles County,Ohio,California,15.0,24.0,38.841681,83.474173,34.196398,118.261862
Adams County,Los Angeles County,Pennsylvania,California,13.0,20.0,39.869471,77.217730,34.196398,118.261862
Adams County,Orange County,Colorado,California,20.0,30.0,39.874325,104.331872,33.675687,117.777207
Adams County,San Mateo County,Colorado,California,11.0,20.0,39.874325,104.331872,37.414664,122.371542
Adams County,Santa Clara County,Colorado,California,9.0,14.0,39.874325,104.331872,37.220777,121.690622
Adams County,Stanislaus County,Colorado,California,7.0,11.0,39.874325,104.331872,37.562384,121.002656
Aiken County,Sacramento County,South Carolina,California,10.0,19.0,33.549317,81.633870,38.450011,121.340441
Alachua County,Los Angeles County,Florida,California,12.0,20.0,29.675740,82.357221,34.196398,118.261862
Alamance County,Alameda County,North Carolina,California,1.0,3.0,36.041974,79.399935,37.648081,121.913304
Alamance County,Los Angeles County,North Carolina,California,15.0,17.0,36.041974,79.399935,34.196398,118.261862
Alameda County,Ada County,California,Idaho,41.0,41.0,37.648081,121.913304,43.447861,116.244456
Alameda County,Alameda County,California,California,462270.0,3414.0,37.648081,121.913304,37.648081,121.913304
Alameda County,Albany County,California,New York,6.0,10.0,37.648081,121.913304,42.588271,73.974014
Alameda County,Allegheny County,California,Pennsylvania,6.0,11.0,37.648081,121.913304,40.468920,79.980920
Alameda County,Arlington County,California,Virginia,76.0,84.0,37.648081,121.913304,38.878337,77.100703
Alameda County,Bartow County,California,Georgia,34.0,39.0,37.648081,121.913304,34.240918,84.838188
Alameda County,Benton County,California,Arkansas,13.0,21.0,37.648081,121.913304,36.337825,94.256187
Alameda County,Bernalillo County,California,New Mexico,17.0,19.0,37.648081,121.913304,35.054002,106.669065
Alameda County,Blaine County,California,Idaho,12.0,23.0,37.648081,121.913304,43.394482,113.955290
Alameda County,Bonner County,California,Idaho,6.0,11.0,37.648081,121.913304,48.312512,116.596940
Alameda County,Boulder County,California,Colorado,10.0,16.0,37.648081,121.913304,40.094826,105.398382
Alameda County,Broome County,California,New York,13.0,25.0,37.648081,121.913304,42.161977,75.830291
Alameda County,Broward County,California,Florida,19.0,26.0,37.648081,121.913304,26.193520,80.476658
Alameda County,Cascade County,California,Montana,9.0,15.0,37.648081,121.913304,47.316443,111.350571
Alameda County,Cass County,California,Indiana,21.0,34.0,37.648081,121.913304,40.753799,86.355169
Alameda County,Cass County,California,North Dakota,12.0,18.0,37.648081,121.913304,46.927003,97.252375
Alameda County,Clark County,California,Nevada,25.0,40.0,37.648081,121.913304,36.214236,115.013819
Alameda County,Contra Costa County,California,California,41010.0,1304.0,37.648081,121.913304,37.919479,121.951543
Alameda County,Cook County,California,Illinois,81.0,58.0,37.648081,121.913304,41.894294,87.645455
Alameda County,Dallas County,California,Texas,14.0,21.0,37.648081,121.913304,32.766987,96.778424
Alameda County,Dane County,California,Wisconsin,4.0,8.0,37.648081,121.913304,43.067468,89.417852
Alameda County,Davidson County,California,Tennessee,9.0,13.0,37.648081,121.913304,36.169129,86.784790
Alameda County,District of Columbia,California,District of Columbia,160.0,80.0,37.648081,121.913304,,
Alameda County,Douglas County,California,Georgia,6.0,11.0,37.648081,121.913304,33.699317,84.765944
Alameda County,Douglas County,California,Nevada,3.0,4.0,37.648081,121.913304,38.905129,119.609019
Alameda County,Doña Ana County,California,New Mexico,23.0,41.0,37.648081,121.913304,,
Alameda County,Duval County,California,Florida,10.0,11.0,37.648081,121.913304,30.335245,81.648113
Alameda County,El Dorado County,California,California,11.0,22.0,37.648081,121.913304,38.785532,120.534398
Alameda County,El Paso County,California,Colorado,19.0,24.0,37.648081,121.913304,38.827383,104.527472
Alameda County,Erie County,California,New York,8.0,13.0,37.648081,121.913304,42.752759,78.778192
Alameda County,Fairfield County,California,Connecticut,50.0,49.0,37.648081,121.913304,,
Alameda County,Franklin County,California,Ohio,27.0,24.0,37.648081,121.913304,39.969447,83.008258
Alameda County,Frederick County,California,Maryland,6.0,11.0,37.648081,121.913304,39.470427,77.397627
Alameda County,Fresno County,California,California,97.0,63.0,37.648081,121.913304,36.761006,119.655019
Alameda County,Fulton County,California,Georgia,8.0,13.0,37.648081,121.913304,33.790034,84.468182
Alameda County,Harris County,California,Texas,70.0,60.0,37.648081,121.913304,29.857273,95.393037
Alameda County,Hays County,California,Texas,6.0,11.0,37.648081,121.913304,30.061225,98.029267
Alameda County,Hennepin County,California,Minnesota,24.0,28.0,37.648081,121.913304,45.006064,93.475185
Alameda County,Honolulu County,California,Hawaii,21.0,29.0,37.648081,121.913304,21.461364,158.201976
Alameda County,Humboldt County,California,California,61.0,54.0,37.648081,121.913304,40.706673,123.925818
Alameda County,Indian River County,California,Florida,17.0,18.0,37.648081,121.913304,27.700638,80.574803
Alameda County,Jackson County,California,Illinois,9.0,16.0,37.648081,121.913304,37.786096,89.381212
Alameda County,Jefferson County,California,Colorado,27.0,43.0,37.648081,121.913304,39.586460,105.245601
Alameda County,Johnson County,California,Iowa,10.0,15.0,37.648081,121.913304,41.668737,91.588812
Alameda County,Kalamazoo County,California,Michigan,9.0,10.0,37.648081,121.913304,42.246266,85.532854
Alameda County,Kent County,California,Michigan,4.0,7.0,37.648081,121.913304,43.032497,85.547446
Alameda County,Kern County,California,California,65.0,52.0,37.648081,121.913304,35.346629,118.729506
Alameda County,Kewaunee County,California,Wisconsin,23.0,26.0,37.648081,121.913304,44.500949,87.161813
Alameda County,King County,California,Washington,146.0,111.0,37.648081,121.913304,47.493554,121.832375
Alameda County,Kings County,California,New York,45.0,41.0,37.648081,121.913304,,
Alameda County,Lake County,California,California,18.0,29.0,37.648081,121.913304,39.094802,122.746757
Alameda County,Lane County,California,Oregon,7.0,11.0,37.648081,121.913304,43.928276,122.897678
Alameda County,Lawrence County,California,Indiana,12.0,16.0,37.648081,121.913304,38.839815,86.487820
Alameda County,Linn County,California,Iowa,28.0,43.0,37.648081,121.913304,42.077951,91.597674
Alameda County,Los Alamos County,California,New Mexico,7.0,15.0,37.648081,121.913304,35.870047,106.307968
Alameda County,Los Angeles County,California,California,732.0,181.0,37.648081,121.913304,34.196398,118.261862
Alameda County,Madison County,California,Alabama,4.0,6.0,37.648081,121.913304,34.764238,86.551080
Alameda County,Maricopa County,California,Arizona,106.0,48.0,37.648081,121.913304,33.346541,112.495534
Alameda County,Marin County,California,California,4823.0,444.0,37.648081,121.913304,38.051817,122.745974
Alameda County,Marion County,California,Indiana,9.0,14.0,37.648081,121.913304,39.782976,86.135794
Alameda County,McLennan County,California,Texas,17.0,23.0,37.648081,121.913304,31.549493,97.201472
Alameda County,Mendocino County,California,California,55.0,40.0,37.648081,121.913304,39.432388,123.442881
Alameda County,Merced County,California,California,28.0,24.0,37.648081,121.913304,37.194806,120.722802
Alameda County,Middlesex County,California,Massachusetts,14.0,17.0,37.648081,121.913304,42.479477,71.396507
Alameda County,Monterey County,California,California,291.0,160.0,37.648081,121.913304,36.240107,121.315573
Alameda County,Montgomery County,California,Maryland,48.0,69.0,37.648081,121.913304,39.137382,77.203063
Alameda County,Morris County,California,New Jersey,6.0,11.0,37.648081,121.913304,40.858581,74.547427
Alameda County,Multnomah County,California,Oregon,32.0,28.0,37.648081,121.913304,45.547693,122.417173
Alameda County,Napa County,California,California,304.0,89.0,37.648081,121.913304,38.507351,122.325995
Alameda County,Nassau County,California,New York,4.0,6.0,37.648081,121.913304,40.729687,73.589384
Alameda County,Nevada County,California,California,22.0,35.0,37.648081,121.913304,39.295191,120.773446
Alameda County,New York County,California,New York,32.0,37.0,37.648081,121.913304,,
Alameda County,Norfolk County,California,Massachusetts,10.0,15.0,37.648081,121.913304,42.169703,71.179875
Alameda County,Oakland County,California,Michigan,13.0,16.0,37.648081,121.913304,42.660452,83.384210
