MAINTAIN,CLASS,the_geom,EQUIP,LENGTH,PLAN_AREA_,STREET,FROM_,TO_,COMMUNITY,SD,JOIN_ID,PIW_PROJEC,PLANNING_A,PHASE,SOURCE_RAT,STATUS,PROJECT_NA,CITY,ZIP_CODE,BMP_SEGMEN,INPROJECTY,PROJECT_CL,INTERIM_CL,COG,REGIONAL_B,UPDATED_UN,ATSPROJECT,ACOE,PRIORITY,RMD_CONTAC,RMD_CONT_1,RMD_CONT_2,RMD_CONT_3,OSD_CONTAC,OSD_CONT_1,SWMD_CONTA,SWMD_CON_1,SWMD_CON_2,BL_WIDTH,BL_BUFFERE,N_BUFFER,S_BUFFER,W_BUFFER,E_BUFFER,PARKING,N_PARKING,S_PARKING,W_PARKING,E_PARKING,PARKING_CO,BL_COMMENT,SHAPE_LEN
LA County,2,"MULTILINESTRING ((-117.95957845759654 33.98284590973438, -117.96037857592874 33.98237903984558, -117.96066397684275 33.98221598105048, -117.96125621325098 33.98188952161417, -117.96148056528283 33.98177280919567, -117.96163727983182 33.981696949012445, -117.96176759694549 33.98163825503574, -117.96200348299865 33.98154250010693, -117.9622773048405 33.98144194457145, -117.96247524450536 33.98137571321597, -117.96259895555428 33.98133693795004, -117.96277049849131 33.98128650041607, -117.96295853420213 33.98123606770275, -117.96313337322054 33.98119387192112, -117.96326037845662 33.98116574482901, -117.96345335380394 33.981126989758295, -117.9636331365144 33.981095444925884, -117.96381126779606 33.98106836229994, -117.96399104290786 33.98104574811564, -117.96415432513669 33.981029307812996, -117.96426977687518 33.98102006765729, -117.96444954537252 33.98101084927183, -117.96458148792667 33.98100813943555, -117.96482887243691 33.98100924144691, -117.96529230349334 33.9810217424801, -117.96557267321741 33.981026288103386, -117.96625155711669 33.98114279097891))",0,0.41624253,0,Colima Rd,Allenton Ave,Stimson Ave,,4,xESV103_3,,East San Gabriel Valley,0,,existing,,,90631,,,,0,,,,2307,,,,,,,,,,,,5,No,0,0,0,0,No,0,0,0,0,NSAT,"The bike lane width varies along Colima Rd; areas that have 8' bike lanes can be re-striped to include a minimum 3' buffer, however, the areas that have 8' bike lanes also have driveways adjacent to the roadway",2197.76056308
LA County,2,"MULTILINESTRING ((-117.94532399137479 33.99008259466145, -117.9451639365172 33.990176978675755, -117.94497253137004 33.9902854334428, -117.94482072999335 33.990367797137125, -117.94462438356612 33.99046800550147, -117.94445278688174 33.99054933233172, -117.94432244399076 33.99060766442668, -117.94404196138971 33.99072569188047, -117.9438918265345 33.990784357547724, -117.94361795322104 33.99088315184634, -117.94338698244174 33.99095826744177, -117.94320055824299 33.99101313634808, -117.94301248914434 33.991062851871355, -117.94283762008568 33.99110398596349, -117.94259676827619 33.99115333493979, -117.94240211205356 33.991186901243175, -117.94220580732964 33.99121565967142, -117.94199301269659 33.991240977695206, -117.94187754297879 33.99125225641962, -117.9417538286964 33.99126181380904, -117.94166640324404 33.99126864056052, -117.94151795016663 33.991274406874865, -117.9414041387321 33.99127607124094, -117.94114023093702 33.99127250714983, -117.94057778666418 33.99125024994542, -117.94032872377704 33.99124359894848, -117.93863482996694 33.99113077422117, -117.93785868428493 33.99108209255084, -117.93654293956733 33.99100422502245, -117.93557901839462 33.99097667364509, -117.93547444592554 33.99096977210118, -117.93447234719292 33.99090363123501, -117.93392562231915 33.99086770449889, -117.93340057600317 33.9908438505071, -117.93325532665267 33.990839619615755, -117.93315298196592 33.99083618674539, -117.93302099225419 33.99083521268819, -117.932740671213 33.990841044696054, -117.93257590919298 33.99085150445687, -117.932394791334 33.99086905398252, -117.93190588133037 33.990922342925195, -117.93178413328307 33.99093909524288, -117.93166073631176 33.990955865733405, -117.931289186024 33.99102131738492, -117.93119210657852 33.99103430136349, -117.93110978073837 33.9910422794708, -117.93099444133 33.99104932379386, -117.93081310933363 33.99105588033667, -117.93029190648052 33.991060130181516, -117.93008738132757 33.99106150359907, -117.92898983846933 33.99094843998118, -117.92674755681269 33.99075520988376, -117.92668145389149 33.990749223769434, -117.92428855458785 33.99052499781317, -117.9230909362036 33.99044413129097, -117.92099978596809 33.9903277634176, -117.91874670008323 33.99023143135913, -117.91771319575305 33.990187493974844, -117.91709077923284 33.990160747526836, -117.91666480394638 33.99014143037986, -117.91658941737899 33.99013794263855, -117.91489155316721 33.990059481635996, -117.91463583563795 33.99005807382383, -117.91455495869634 33.99005571488049, -117.91442285223138 33.990048539012804, -117.91419158379831 33.99003169180315, -117.91360164003957 33.98997769885896, -117.91345451785156 33.98996179151118, -117.91341481860074 33.98995613522211, -117.91327586811931 33.989935998385484, -117.91314671583697 33.989910918905224, -117.91300577422156 33.98987294358036, -117.9128513854023 33.98982209098443, -117.91261051687025 33.989734601819485, -117.91235622118154 33.989634924372524, -117.91209018086747 33.98952509402403, -117.91178249396339 33.9893938332196, -117.91152287045554 33.98927429895125, -117.91130325983501 33.989176906791926, -117.91110186941044 33.98908339393621, -117.91097044353778 33.9890253634636, -117.91083579481389 33.988971500919774, -117.91070128024846 33.98892450381049, -117.91053037683223 33.98887249624352, -117.91035791827626 33.988825316194315, -117.9101192962653 33.98876871083651, -117.90997521439826 33.98873901576501, -117.90979646303997 33.988707722459516, -117.90963703142359 33.98868447368024))",0,2.09124545,0,Colima Rd,Halliburton Rd,Larkvane Rd,,4,xESV103_1,,,0,,existing,,,,,,,0,,,,2308,,,,,,,,,,,,5,No,0,0,0,0,No,0,0,0,0,NSAT,"The bike lane width varies along Colima Rd; areas that have 8' bike lanes can be re-striped to include a minimum 3' buffer, however, the areas that have 8' bike lanes also have driveways adjacent to the roadway",11041.7759742
Santa Clarita,1,"MULTILINESTRING ((-118.54071690545874 34.42809890485023, -118.54095959606674 34.42785455784174, -118.54327686586038 34.42654059897291, -118.5435444002682 34.42634436120224, -118.54376475510088 34.42620461092929, -118.54395382708348 34.42610837516739, -118.5455795607936 34.42560556711463, -118.54574656649746 34.42557489909935, -118.54583080644639 34.42559205173003, -118.54611616457227 34.425647511871475, -118.54639297970536 34.42569397477715, -118.54656771860223 34.42571067260164, -118.54684933734755 34.42569192820321, -118.54736721717899 34.425677186915536, -118.54756251639341 34.4256808483542, -118.54786266023517 34.42576277930478, -118.5482115667229 34.42580517080811, -118.54862832152234 34.42583000832894, -118.54919821318519 34.42580197632726, -118.54949376722344 34.42571359602326, -118.5497257299279 34.42562980715954, -118.55009119696827 34.42565910027722, -118.55044005838315 34.42568870656315, -118.55065227752193 34.4257536733055, -118.5509231801113 34.42582714133097, -118.55128385411928 34.42583043774644, -118.55166049123255 34.42576800210625, -118.55208610271987 34.425797522642625, -118.55256565180748 34.42584434806158, -118.55304037086508 34.42582103896049, -118.55343578673104 34.42578916667542, -118.5539439316025 34.42582276365797, -118.554572073708 34.42600903697789, -118.55483810390987 34.42606499970322, -118.55533554476818 34.426098639825724, -118.55614152531241 34.426147163529095, -118.55646824519273 34.426189838726806, -118.55682036612373 34.42624569408801, -118.55717971679061 34.42624027673691, -118.55745951712284 34.426230757391274, -118.55784945363824 34.42626899753891, -118.55863781207796 34.42641088596252, -118.55893102654395 34.42644522328571, -118.56022164480417 34.42618561970805, -118.56053196359656 34.426122656283816, -118.56083687854169 34.42610807571223, -118.56114182458158 34.4260759969334, -118.56167701629194 34.425973502114395, -118.56209151252112 34.42602344409775, -118.56243059398464 34.423996371374145, -118.5628159152398 34.42396314819879, -118.5634112043875 34.423962355412336, -118.56383973039928 34.42387889721389, -118.56457528125391 34.42388528538161, -118.5653825439823 34.42404461267688, -118.5658596680913 34.423980761224016, -118.56640030113644 34.42401002296269, -118.5668017420029 34.4241322255721, -118.56746932223169 34.42387359539749, -118.56797008012813 34.42376820947015, -118.56843440884073 34.423879954825054, -118.56906281035072 34.424237594949226, -118.56944149195645 34.42456541248327, -118.56997055674796 34.42469867846874, -118.57043597230673 34.424801005415844, -118.57088721307368 34.424758280417684, -118.57129879521378 34.42452950640013, -118.57191364614306 34.42455828388265, -118.5728304804238 34.424554504255255, -118.57340974297149 34.42460366956573, -118.57395072252875 34.42459097871859, -118.57439334443508 34.4247962139202, -118.57488403789039 34.42486680617531, -118.57533981374377 34.425092913282114, -118.57576804631525 34.4253400783705, -118.57612404341238 34.42534898365705, -118.57661341265124 34.42534706163555, -118.57684878196795 34.4251491500917, -118.57693541254262 34.42486882419608, -118.57717354257807 34.42466044663812, -118.5773624701441 34.42470116709538, -118.57819976283348 34.42539262822007, -118.57879256111084 34.42584892978129, -118.57971713480912 34.42654284263608, -118.58066480002152 34.42723445158912, -118.58129096422486 34.427304844953994, -118.5820218454486 34.427561699386594, -118.58405099412451 34.428177969006875))",0,2.82120721,19,Santa Clara River Bike Path,I-5 Fwy,McBean Parkway,Santa Clarita,5,SCV19_0,,Santa Clarita Valley,3,,existing,,,,,,,0,San Fernando Valley COG,yes,1000000,2244,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,14895.974093
,1,"MULTILINESTRING ((-118.58405099412451 34.428177969006875, -118.5854010705763 34.42843278821592, -118.58656149950109 34.428511467177024, -118.58746020709562 34.42869006945013, -118.58895714136224 34.42970374429776, -118.59051191763203 34.431005648741625, -118.59224069970857 34.43265417075464, -118.59542547238006 34.43495026348107))",0,0.82662189,19,Santa Clara River Bike Path,3000' N/o Rye Canyon Rd,I-5 Fwy,Santa Clarita,5,SCV19_2,RDC0015749,Santa Clarita Valley,3,,funded,The Old Rd over Santa Clara River & SPT CO. Bridge,,,,,,0,San Fernando Valley COG,yes,1000000,2245,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,4364.5635791
,5,"MULTILINESTRING ((-118.30903162656304 33.93527793240692, -118.30964318252477 33.93527842472928, -118.31017396492959 33.935279137465734, -118.3101920971962 33.93527907859004, -118.31047232184382 33.93528490421028, -118.31062066622985 33.93528211327725, -118.31071952151139 33.93527498612754, -118.3111462931676 33.93523265262089, -118.31124848483637 33.93522826740232, -118.31138846949041 33.935195619816504, -118.31158119275939 33.93515872887721, -118.31180350478344 33.93510559908743, -118.31191220502697 33.93507440930366, -118.31198957370174 33.93504843998602, -118.31206362720165 33.93501871197813, -118.31222327124132 33.93494857343656, -118.31243715132256 33.934844289559884, -118.31267403727979 33.93471864061667, -118.31275463117659 33.93467136789502, -118.31284673495884 33.9346130835099, -118.3129618306789 33.93453411961584, -118.3131081062149 33.93442314099293, -118.31323794416515 33.93431771499507, -118.31364378780772 33.93397763661121, -118.31386238621491 33.93380978060199, -118.31403001028403 33.933677794545055, -118.3145163638362 33.93326161432598, -118.31467410500574 33.93312758394728, -118.31474807671319 33.933073809563204, -118.31485163978552 33.93300519725348, -118.31491741965765 33.932964490444256, -118.31499967698136 33.93291790122316, -118.31518395025262 33.93282570236758, -118.31538467246263 33.93273036835289, -118.31578945732406 33.93254384237991, -118.31604446727678 33.93241952736185, -118.31634384721139 33.932262786485715, -118.316389912209 33.932231403833555, -118.3164243931259 33.93220212892152, -118.31646709173292 33.93216011770529, -118.31652616810415 33.93209367300081, -118.31654423869195 33.93207025482398, -118.31659830525633 33.931985270919554, -118.31665554216974 33.931870739357336, -118.31667023125699 33.931831223942, -118.31667673109851 33.931804748933736, -118.31668632433423 33.931722978877, -118.31669049159977 33.93152030612379, -118.31669086088105 33.931180599329466, -118.31669076994741 33.9311617197712, -118.31669007494455 33.93097211016504))",0,0.58454433,49,Lohengrin Avenue,Imperial Highway,Budlong Avenue,West Athens / Westmont,2,M49_0,,Metro,2,,unfunded,2013 CFP - W Athens W Carson,,,,,,0,South Bay Cities,,300000,2246,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,3086.39407465
LA County,5,"MULTILINESTRING ((-118.30467509203277 33.935290739665504, -118.30475582973246 33.93527988430509, -118.30483660049394 33.93527523932775, -118.30505416023294 33.935274671700384, -118.30795690008556 33.935276926727084, -118.30843329254948 33.93527741423858, -118.30903162656304 33.93527793240692))",0,0.25035379,49,110th Street,Western Avenue,Denker Avenue,West Athens / Westmont,2,M49_1,RDC0015836,Metro,2,,existing,Westmont Community Bikeway Access Improvements,,,,,,0,South Bay Cities,,300000,2247,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,1321.86800138
,2,"MULTILINESTRING ((-118.08393545380905 34.13580837105589, -118.08333518700681 34.13581394105117, -118.08262350896783 34.13582051486094, -118.08218730262796 34.13581703041394, -118.08070521675788 34.13582592360016, -118.08038631363895 34.13582787607412, -118.07941147193894 34.13583985069468, -118.07891578682215 34.13583845339356, -118.0784911390472 34.135839408734036, -118.07838374267884 34.135839819308636, -118.07815242261097 34.13583653981433, -118.0779706757952 34.13582945367682, -118.07777402561251 34.13581549151323, -118.07757903077227 34.135793283154506, -118.07738568574382 34.13575906486591, -118.07724191882728 34.135726181061614, -118.07716256770838 34.13570562699176, -118.07705183646108 34.13567478525766, -118.07691135636126 34.13563192407617, -118.07672623614141 34.1355709098311, -118.07660558674912 34.13552805377003, -118.07650147165042 34.13548621969406, -118.07642872729177 34.13545362851122, -118.0763427754877 34.13541245992646, -118.07606011245863 34.13526940189987, -118.07592952127939 34.135208704654886, -118.07557414666414 34.13506155679254, -118.07493780530045 34.13481018286995, -118.07448829228537 34.13471874044134, -118.07430982222209 34.13468727071351, -118.0742404260711 34.134677355364225, -118.07421233238783 34.13467325050027, -118.07411483251916 34.13466368272799, -118.07404872145396 34.13465995134033, -118.07371660704929 34.13465085946904, -118.07323249416488 34.134656312490044, -118.07241796291234 34.13466575019427, -118.07108952989762 34.134680945170224, -118.07090119253492 34.13468931924396, -118.07062858391997 34.13470802485339, -118.07044354165971 34.13472082374529, -118.07003213787354 34.134754734305965, -118.06980082199554 34.134767571250784, -118.06961907360994 34.13477009024444, -118.06948524604306 34.13476740518477, -118.0694538632352 34.134766734453116, -118.06928861289555 34.134758264565924, -118.06912339149575 34.134743227255996, -118.06897795501636 34.13472338619685, -118.068911855015 34.13471245140379, -118.0688325464478 34.134695657337964, -118.06869040780441 34.13465863915964, -118.06836483655763 34.134558175718546, -118.06817642424174 34.13450643636952, -118.06805416113453 34.13447970452627, -118.0679781255102 34.13446291038833, -118.06759640390487 34.134386528521524, -118.06747904942243 34.13435910982901))",0,0.96380051,47,California Boulevard,0.1 mi E/o Brightside Lane,Michillinda Avenue,,5,WSG47_0,,West San Gabriel Valley,3,County Provided - Metro BTSP,unfunded,,,,,,,3,San Gabriel Valley,,165000,2274,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,5088.86671445
,3,"MULTILINESTRING ((-118.15899686538127 34.19827784467031, -118.15899744113648 34.19828889159798, -118.15902832900582 34.198894389853194, -118.15904566238832 34.199302080173396, -118.1591078762998 34.2007188925984, -118.15915803849737 34.20186811037872, -118.15914366863238 34.201869009764586))",0,0.24845307,22,Lincoln Avenue,Loma Alta Drive,Altadena Drive,Altadena,5,WSG22_0,,West San Gabriel Valley,2,,unfunded,,,,,,,0,San Gabriel Valley,,30000,2275,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,1311.83222981
,2,"MULTILINESTRING ((-117.9630967891696 34.045338305960406, -117.96309850351399 34.045336692956404, -117.963908353098 34.044574419649706, -117.96413710830338 34.044359099613004, -117.96426776431575 34.04423610350015, -117.96469518098866 34.04383374231927, -117.96526813920593 34.04329292974342, -117.96598139749491 34.042621968204685, -117.96631334933461 34.042308691938594, -117.96654607820365 34.042089054663194, -117.96682638864522 34.0418254009402, -117.9670124054632 34.04165077195265, -117.96711150282042 34.04155786818721, -117.96721696063057 34.04145795838195, -117.96803101541754 34.04068671761647))",0,0.42771299,1,N. Sunset Avenue,Amar Road,Temple Ave,Valinda,1,ESG01_0,,East San Gabriel Valley,1,,unfunded,2013 CFP - Valinda,,,,,,0,San Gabriel Valley,yes,165000,2276,,yes,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,2258.32458185
,2,"MULTILINESTRING ((-118.20143197296954 34.674756655294566, -118.20325131020734 34.67475330102435, -118.20376684261143 34.67475482778019, -118.20409866940992 34.67475781031201, -118.20428240242362 34.67475945807496, -118.20514721768782 34.6747762215557, -118.20586234955985 34.674795607311346, -118.20700825874746 34.67482630510933, -118.20946951230694 34.674823455581326, -118.21020456500204 34.67482459441248, -118.21056712812542 34.67482534614395, -118.21211374869665 34.6748360593428, -118.21285693265496 34.67484247691776, -118.21464099625598 34.674857857268755, -118.2152236726268 34.674862881588396, -118.21709127478468 34.67487501730846, -118.2181888845067 34.674884395528494, -118.21875434879071 34.67488679710566, -118.21887240410926 34.6748862427503, -118.219552588034 34.67488399346713, -118.2210925223347 34.674872624720315, -118.22327768479086 34.67485660514983))",0,1.24405729,30,Avenue K,52nd Street West,40th Street West,,5,AV30_0,,Antelope Valley,2,,unfunded,,,,,,,0,North Los Angeles,,400000,2277,,,,,,,,,,,,0,,0,0,0,0,,0,0,0,0,,,6568.62248699
